AccessionNumber,GeneName,Function
MMAR_2708,gcvB,"this family consists of glycine cleavage system P-proteins from bacterial, mammalian and plant sources. the P protein is part of the glycine decarboxylase multienzyme complex also annotated as glycine cleavage system or glycine synthase. the P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor, carbon dioxide is released and the remaining methylamin moiety is then transferred to the lipoamide cofactor of the H protein. GDC consists of four proteins P, H, L and T. the reaction catalysed by this protein is: glycine + lipoylprotein = s-aminomethyldihydrolipoylprotein + CO2"
MMAR_2508,MMAR_2508,"this is a family of myo-inositol-1-phosphate synthases. inositol-1-phosphate catalyses the conversion of glucose-6- phosphate to inositol-1-phosphate, which is then dephosphorylated to inositol. inositol phosphates play an important role in signal transduction."
MMAR_2699,pgsA2,"thought to be involved in cardiolipin biosynthesis; generates cardiolipin from phosphatidylglycerol and CDP-diacylglycerol [catalytic activity : may be: phosphatidylglycerol + phosphatidylglycerol -> cardiolipin + glycerol, or: CDP-diacylglycerol + glycerol 3-phosphate = CMP + 3-(3-phosphatidyl)-glycerol 1-phosphate]."
MMAR_2414,trpB,tryptophan biosynthesis pathway (fifth last step). the beta subunit is responsible for the synthesis of L-tryptophan from indole and L-serine. [catalytic activity : L-serine + 1-(indol-3-YL)glycerol 3-phosphate = L-tryptophan + glyceraldehyde 3-phosphate + H(2)O].
MMAR_5131,MMAR_5131,"unknown, the domain detected in this CDS is found in a diverse family of glycosyl transferases that transfer the sugar from UDP-glucose, UDP-N-acetyl-galactosamine, GDP-mannose or CDP-abequose, to a range of substrates including cellulose, dolichol phosphate and teichoic acids."
MMAR_2351,MMAR_2351,"unknown.contains Cdd pfam00535, glycos_transf_2, glycosyl transferase. diverse family, transferring sugar from UDP-glucose, UDP-N-acetyl- galactosamine, GDP-mannose or CDP-abequose, to a range of substrates including cellulose, dolichol phosphate and teichoic acids."
MMAR_1137,guaB2,
MMAR_2395,hisD,"involved in histidine biosynthesis pathway (tenth step). this protein is considered as a bifunctional enzyme, possessing two active sites, one an alcohol dehydrogenase and the other an aldehyde dehydrogenase [catalytic activity : l-histidinol + 2 NAD(+) + H(2)O = L-histidine + 2 NADH]."
MMAR_1836,dxr,
MMAR_1716,leuB,
MMAR_1881,mqo,
MMAR_1505,mhpF,
MMAR_2462,argC,
MMAR_0842,hemA,
MMAR_1938,dapB,
MMAR_0785,lpd,
MMAR_5477,trxB2,
MMAR_3253,cobS,
MMAR_1595,MMAR_1595,
MMAR_4217,MMAR_4217,
MMAR_0907,menH,
MMAR_1956,thyA,
MMAR_3299,panB,
MMAR_2195,pyrB,
MMAR_1710,ilvB1,
MMAR_0901,menD,"involved in menaquinone biosynthesis (at the first step) [catalytic activity 1: isochorismate + 2-ketoglutarate = 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate + pyruvate + CO(2)] [catalytic activity 2: 2-oxoglutarate = succinate semialdehyde + CO(2)]."
MMAR_3285,lipB,
MMAR_2384,bioF1,
MMAR_4978,otsA,involved in osmoregulatory trehalose biosynthesis. mycobacteria can produce trehalose from glucose 6-phosphate and UDP-glucose (the OtsA-OtsB pathway) from glycogen-like alpha(1-->4)-linked glucose polymers (the TreY-TreZ pathway) and from maltose (the TreS pathway) [catalytic activity: trehalose 6-phosphate + H(2)O = trehalose + orthophosphate].
MMAR_4068,pncB,
MMAR_3252,cobT,
MMAR_2123,apt,
MMAR_1217,upp,
MMAR_4629,cysM,
MMAR_3645,cysK1,
MMAR_2205,metK,"involved in the activated methyl cycle. catalyzes the formation of s-adenosylmethionine from methionine and ATP. the overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme. [catalytic activity : ATP + L-methionine + H(2)O = phosphate + diphosphate + S-adenosyl-L-methionine]"
MMAR_0843,hemC,involved in porphyrin biosynthesis by the C5 pathway (at the fourth step). tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane preuroporphyrinogen in several discrete steps [catalytic activity: 4 porphobilinogen + H2O = hydroxymethylbilane + 4 NH3].
MMAR_2223,ribH,"riboflavin synthase is a bifunctional enzyme complex involved in riboflavin synthesis. riboflavin synthase catalyzes the formation of riboflavin from 5-amino-6-(1'-D)- ribityl-amino-2,4(1H,3H)-pyrimidinedione and L-3,4-dihydrohy-2- butanone-4-phosphate via 6,7-dimethyl-8-lumazine. the beta subunit catalyzes the condensation of 5-amino-6-(1'-D)-ribityl- amino-2,4(1H,3H)-pyrimidinedione with L-3,4-dihydrohy-2-butanone- 4-phosphate yielding 6,7-dimethyl-8-lumazine."
MMAR_2096,snoP,
MMAR_2396,hisC1,
MMAR_4259,MMAR_4259,"ATP sulfurylase may be the GTPase, regulating ATP sulfurylase activity [catalytic activity 1: ATP + sulfate = diphosphate + adenylylsulfate] and APS kinase catalyzes the synthesis of activated sulfate [catalytic activity 2: ATP + adenylylsulfate = ADP + 3'- phosphoadenylylsulfate]. first and second steps in the sulfate activation pathway. these reactions occurs early in the reductive branch of the cysteine biosynthetic pathway."
MMAR_4376,coaA,
MMAR_2420,pykA,
MMAR_2240,pgk,
MMAR_2464,argB,
MMAR_1071,adk,
MMAR_0940,galT,
MMAR_1751,kdtB,"involved in the coenzyme a (CoA) biosynthesis (at the fourth step). reversibly transfers an adenylyl group from ATP to 4'-phosphopantetheine, yielding dephospho-CoA (DPCoA) and pyrophosphate [catalytic activity: ATP + pantetheine 4'-phosphate = diphosphate + dephospho-CoA]."
MMAR_2387,bioB,"involved in biotin synthesis. biotin synthase with flavodoxin, s-adenosylmethionine, and possibly cysteine to catalyze the last step of the biotin biosynthetic pathway. the reaction consists of the introduction of a sulphur atom into dethiobiotin, thus requiring activation of C-H bonds. biotin (vitamin H) is a prosthetic group in enzymes catalysing carboxylation and transcarboxylation reactions."
MMAR_2269,csd,
MMAR_3286,lipA,
MMAR_3727,MMAR_3727,
MMAR_1295,sahH,
MMAR_3258,pepB,
MMAR_1842,mapB,
MMAR_1072,mapA,
MMAR_1548,glsA,
MMAR_2724,ureC,
MMAR_2196,pyrC,
MMAR_2402,hisI,
MMAR_2222,ribA2,
MMAR_1206,add,
MMAR_1176,folD,"necessary for the biosynthesis of purines, thymydylate, methionine, histidine, pantothenate, and formyl tRNA-Met [catalytic activity: 5,10-methylenetetrahydrofolate + NADP(+) = 5,10-methenyltetrahydrofolate + NADPH] [catalytic activity: 5,10-methenyltetrahydrofolate + H(2)O = 10-formyltetrahydrofolate]."
MMAR_2017,dut,"involved in biosynthesis of thymidylate. this enzyme is involved in nucleotide metabolism: it produces dump, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA [catalytic activity: dUTP + H(2)O = dump + pyrophosphate]."
MMAR_3472,MMAR_3472,
MMAR_2200,pyrF,
MMAR_2038,hemE,
MMAR_2413,trpC,
MMAR_0803,deoC,
MMAR_2401,hisF,
MMAR_1506,MMAR_1506,
MMAR_0899,menC,
MMAR_2397,hisB,
MMAR_2415,trpA,tryptophan biosynthesis pathway (fifth - last step). the alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate. [catalytic activity: L-serine + 1-(indol-3-YL)glycerol 3-phosphate = L-tryptophan + glyceraldehyde 3-phosphate + H(2)O.].
MMAR_0845,hemB,
MMAR_1727,leuD,
MMAR_1726,leuC,
MMAR_2175,aroF,
MMAR_2469,argH,
MMAR_2291,hemZ,
MMAR_1119,alr,
MMAR_1987,dapF,
MMAR_2241,tpi,
MMAR_4557,pgi,
MMAR_0814,gpm1,
MMAR_1108,mrsA,
MMAR_0870,hemL,
MMAR_2362,MMAR_2362,
MMAR_3289,glnA1,
MMAR_2385,bioD,
MMAR_2504,pyrG,
MMAR_0680,purA,
MMAR_2468,argG,
MMAR_1148,guaA,
MMAR_0987,MMAR_0987,
MMAR_4381,MMAR_4381,
MMAR_2977,fatA,
MMAR_1236,lpqC,
MMAR_3810,lipP,
MMAR_2828,lipD,
MMAR_4808,crtYc,
MMAR_4809,crtYd,
MMAR_0986,fabD2,
MMAR_3220,MMAR_3220,
MMAR_4732,MMAR_4732,
MMAR_1250,MMAR_1250,
MMAR_3633,MMAR_3633,
MMAR_3695,mbtD,
MMAR_3796,MMAR_3796,
MMAR_3797,MMAR_3797,
MMAR_3799,MMAR_3799,
MMAR_1876,MMAR_1876,
MMAR_3268,MMAR_3268,
MMAR_0098,MMAR_0098,
MMAR_2473,pks9,
MMAR_1767,mas,
MMAR_1762,pks15/1,
MMAR_2472,pks8,
MMAR_3798,MMAR_3798,
MMAR_3337,acpM,
MMAR_1761,fadD22,
MMAR_5283,MMAR_5283,
MMAR_1170,fadD29_1,
MMAR_2766,MMAR_2766,
MMAR_3488,acs_1,
MMAR_4393,fadA3,
MMAR_0104,MMAR_0104,
MMAR_4309,echA10,
MMAR_4022,echA10_1,
MMAR_4023,echA11_1,
MMAR_4024,echA16_1,
MMAR_5002,echA19,
MMAR_5039,echA20,
MMAR_4536,echA7,
MMAR_4396,echA8,
MMAR_4395,echA9,
MMAR_2278,echA12,
MMAR_1004,echA5,
MMAR_4691,echA8_2,
MMAR_0453,echA8_4,
MMAR_3510,echA8_5,
MMAR_2759,echA8_6,
MMAR_4994,fadD17,
MMAR_4613,MMAR_4613,
MMAR_5008,ltp3,
MMAR_5007,ltp4,
MMAR_2478,MMAR_2478,
MMAR_3979,MMAR_3979,
MMAR_1001,MMAR_1001,
MMAR_5361,fadE35,
MMAR_0469,MMAR_0469,
MMAR_2936,fadD9_1,
MMAR_1269,MMAR_1269,
MMAR_2289,fabG1,
MMAR_2290,inhA,
MMAR_3832,erg3_2,
MMAR_4367,glpX,
MMAR_2621,MMAR_2621,
MMAR_1315,desA3,
MMAR_1316,desA3_1,
MMAR_3800,MMAR_3800,
MMAR_2421,tesB1,
MMAR_2095,tesB2,
MMAR_2744,MMAR_2744,
MMAR_4250,ltp2,
MMAR_1155,MMAR_1155,
MMAR_5033,fadA5,
MMAR_2745,MMAR_2745,
MMAR_3336,fabD,
MMAR_4300,omt_2,
MMAR_4805,crtE,
MMAR_3208,idsA2,
MMAR_2564,idsB,
MMAR_2371,plsB1,
MMAR_2470,pks10,
MMAR_2474,pks11_1,
MMAR_2190,MMAR_2190,
MMAR_2091,MMAR_2091,
MMAR_0794,umaA,
MMAR_4749,MMAR_4749,
MMAR_3982,MMAR_3982,
MMAR_3631,MMAR_3631,
MMAR_4807,crtB,
MMAR_3694,mbtC,
MMAR_2092,pimA,
MMAR_1916,pptII,
MMAR_4276,fadH,
MMAR_2090,pgsA1,
MMAR_1029,MMAR_1029,
MMAR_4806,crtI,
MMAR_1140,choD,
MMAR_3429,lipM,
MMAR_3401,MMAR_3401,
MMAR_4533,accD2,
MMAR_3340,accD6,
MMAR_2835,fadD31,
MMAR_1948,fadD13_1,
MMAR_2341,fadD25,
MMAR_1759,fadD29,
MMAR_1606,MMAR_1606,
MMAR_3389,MMAR_3389,
MMAR_2064,MMAR_2064,
MMAR_0468,MMAR_0468,
MMAR_3983,MMAR_3983,
MMAR_4027,MMAR_4027,
MMAR_4007,fadD19_2,
MMAR_5050,fadD3,
MMAR_4026,fadD35_1,
MMAR_0409,fadD5,
MMAR_0319,fadD7,
MMAR_2370,fadD11,
MMAR_4025,MMAR_4025,
MMAR_3231,fadD15,
MMAR_2303,mutB,
MMAR_2302,mutA,
MMAR_4856,desA1,
MMAR_1954,fadE18_1,
MMAR_4993,fadE27,
MMAR_5052,fadE32,
MMAR_5053,fadE33,
MMAR_4748,MMAR_4748,
MMAR_3980,MMAR_3980,
MMAR_4034,fadE,
MMAR_4535,fadE12,
MMAR_3981,fadE17_2,
MMAR_3738,fadE18_2,
MMAR_1989,fadE20,
MMAR_1919,fadE21,
MMAR_1625,fadE22,
MMAR_1262,fadE25,
MMAR_4992,fadE26,
MMAR_5051,fadE31,
MMAR_3737,fadE17_1,
MMAR_1953,fadE34_1,
MMAR_0793,fadB2,
MMAR_1322,fadB3,
MMAR_2981,fabG3_1,
MMAR_0387,fabG3,
MMAR_4715,MMAR_4715,
MMAR_2366,MMAR_2366,
MMAR_2367,MMAR_2367,
MMAR_5281,MMAR_5281,
MMAR_1838,ispG,"converts 2C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (by similarity).[catalytic activity] (E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + H(2)O + protein-disulfide = 2-C-methyl-D-erythritol 2,4-cyclodiphosphate + protein-dithiol.[cofactor] binds 1 4Fe-4S cluster (by similarity)."
MMAR_5236,MMAR_5236,cyclopropane-fatty-acyl-phospholipid synthase or CFA synthase  catalyses the reaction: S-adenosyl-L-methionine + phospholipid olefinic fatty acid -> S-adenosyl-L-homocysteine + phospholipid cyclopropane fatty acid. CFA synthase is closely related to methyltransferases.
MMAR_3338,kasA,involved in fatty acid biosynthesis (mycolic acids synthesis); involved in meromycolate extension. catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-acp [catalytic activity: acyl-[acyl-carrier protein] + malonyl-[acyl-carrier protein] = 3-oxoacyl-[acyl-carrier protein] + [acyl-carrier protein] + CO(2)].
MMAR_3339,kasB,involved in fatty acid biosynthesis (mycolic acids synthesis); involved in meromycolate extension. catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-acp [catalytic activity: acyl-[acyl-carrier protein] + malonyl-[acyl-carrier protein] = 3-oxoacyl-[acyl-carrier protein] + [acyl-carrier protein] + CO(2)].
MMAR_3221,fabH_1,involved in fatty acid biosynthesis. catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-acp. kas III catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. possesses both acetoacetyl-acp synthase and acetyl transacylase activities [catalytic activity: acyl-[acyl-carrier protein] + malonyl-[acyl-carrier protein] = 3-oxoacyl-[acyl-carrier protein] + CO2 + [acyl-carrier protein]].
MMAR_1951,accA3_1,involved in long-chain fatty acid synthesis (at the first step). carries two functions: biotin carboxyl carrier protein and biotin carboxyltransferase [catalytic activity: ATP + biotin-carboxyl-carrier protein + CO(2) = ADP + orthophosphate + carboxybiotin-carboxyl-carrier protein].
MMAR_1760,MMAR_1760,"responsible for the direct conversion of chorismate to p-hydroxybenzoate, the substrate used in the production of glycosylated p-hydroxybenzoic acid methyl esters and structurally related phenolphthiocerol glycolipids. in M. tuberculosis, this is the sole enzymatic source of p-hydroxybenzoic acid."
MMAR_4534,accA2,this protein carries two functions: biotin carboxyl carrier protein and biotin carboxyltransferase. involved in the first step of long-chain fatty acid synthesis [catalytic activity: ATP + biotin-carboxyl-carrier protein + CO(2) = ADP + phosphate + carboxybiotin-carboxyl-carrier protein].
MMAR_4626,accD3,"this protein is a component of the acetyl coenzyme a carboxylase complex; first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA [catalytic activity ATP + acetyl-CoA + HCO(3)(-) = ADP + phosphate + malonyl-CoA]."
MMAR_1291,alkB,thought to be involved in fatty acid metabolism. generates octanol and oxidized rubredoxin from octane and reduced rubredoxin. also hydroxylates fatty acids in the omega-position [catalytic activity: octane + reduced rubredoxin + (O)2 = 1-octanol + oxidized rubredoxin + H(2)O].
MMAR_3516,alkB_1,thought to be involved in fatty acid metabolism. generates octanol and oxidized rubredoxin from octane and reduced rubredoxin. also hydroxylates fatty acids in the omega-position [catalytic activity: octane + reduced rubredoxin + (O)2 = 1-octanol + oxidized rubredoxin + H(2)O].
MMAR_1732,gpdA2,
MMAR_1828,cdsA,
MMAR_2471,pks7,
MMAR_4313,MMAR_4313,
MMAR_5206,MMAR_5206,
MMAR_5182,MMAR_5182,
MMAR_1971,35kd_ag,
MMAR_1003,MMAR_1003,
MMAR_4976,MMAR_4976,
MMAR_1229,phoY1,
MMAR_2258,MMAR_2258,
MMAR_2081,MMAR_2081,
MMAR_1147,MMAR_1147,
MMAR_1318,MMAR_1318,
MMAR_0811,MMAR_0811,
MMAR_4242,MMAR_4242,
MMAR_2280,MMAR_2280,
MMAR_1312,pvdS,
MMAR_1282,whiB2,
MMAR_1365,whiB7,
MMAR_2705,MMAR_2705,
MMAR_3703,MMAR_3703,
MMAR_4155,embR,
MMAR_3545,embR_1,
MMAR_3507,MMAR_3507,
MMAR_4779,MMAR_4779,
MMAR_4633,prrA,
MMAR_0816,regX3,
MMAR_1299,mtrA,
MMAR_4423,MMAR_4423,
MMAR_2230,whiA,
MMAR_5185,MMAR_5185,
MMAR_5184,MMAR_5184,
MMAR_5186,MMAR_5186,
MMAR_4923,pknF_2,
MMAR_3547,MMAR_3547,
MMAR_0365,pknK_2,
MMAR_0366,pknK_3,
MMAR_1794,pknI,
MMAR_4171,MMAR_4171,
MMAR_2581,pknE,
MMAR_4156,pknH,
MMAR_4169,pknH_1,
MMAR_3211,pknL,
MMAR_1165,MMAR_1165,
MMAR_1517,devS,
MMAR_5202,moxR2,
MMAR_1399,moxR3,
MMAR_2286,moxR1,
MMAR_1337,MMAR_1337,
MMAR_2265,MMAR_2265,
MMAR_4852,MMAR_4852,
MMAR_5164,MMAR_5164,
MMAR_4811,MMAR_4811,
MMAR_1075,MMAR_1075,
MMAR_2939,MMAR_2939,
MMAR_1630,MMAR_1630,
MMAR_2139,MMAR_2139,
MMAR_3668,MMAR_3668,
MMAR_2058,MMAR_2058,
MMAR_2244,MMAR_2244,
MMAR_0820,MMAR_0820,
MMAR_1063,MMAR_1063,
MMAR_3156,MMAR_3156,
MMAR_5276,MMAR_5276,
MMAR_3624,MMAR_3624,
MMAR_1242,MMAR_1242,
MMAR_3557,MMAR_3557,
MMAR_1929,MMAR_1929,
MMAR_4047,MMAR_4047,
MMAR_4782,narL,
MMAR_1516,devR,
MMAR_2376,MMAR_2376,
MMAR_1978,recX,
MMAR_3975,MMAR_3975,
MMAR_1265,MMAR_1265,
MMAR_2429,MMAR_2429,
MMAR_3669,zur,
MMAR_1874,MMAR_1874,
MMAR_2638,MMAR_2638,
MMAR_0929,MMAR_0929,
MMAR_4840,MMAR_4840,
MMAR_3397,MMAR_3397,
MMAR_4115,MMAR_4115,
MMAR_0773,MMAR_0773,
MMAR_3853,MMAR_3853,
MMAR_3987,MMAR_3987,
MMAR_1695,MMAR_1695,
MMAR_1010,MMAR_1010,
MMAR_2316,MMAR_2316,
MMAR_4251,MMAR_4251,
MMAR_4219,MMAR_4219,
MMAR_1142,MMAR_1142,
MMAR_1145,MMAR_1145,
MMAR_4699,MMAR_4699,
MMAR_1597,MMAR_1597,
MMAR_1504,MMAR_1504,
MMAR_4284,MMAR_4284,
MMAR_4185,MMAR_4185,
MMAR_1635,MMAR_1635,
MMAR_5069,MMAR_5069,
MMAR_3144,MMAR_3144,
MMAR_3142,MMAR_3142,
MMAR_1643,MMAR_1643,
MMAR_1394,MMAR_1394,
MMAR_3438,MMAR_3438,
MMAR_3519,MMAR_3519,
MMAR_0222,MMAR_0222,
MMAR_4325,MMAR_4325,
MMAR_4335,MMAR_4335,
MMAR_1796,MMAR_1796,
MMAR_1294,MMAR_1294,
MMAR_1444,MMAR_1444,
MMAR_0489,MMAR_0489,
MMAR_4487,MMAR_4487,
MMAR_3309,ptpA,
MMAR_0942,MMAR_0942,
MMAR_2525,MMAR_2525,
MMAR_0123,MMAR_0123,
MMAR_3522,MMAR_3522,
MMAR_4019,MMAR_4019,
MMAR_3762,MMAR_3762,
MMAR_5405,ethR,
MMAR_2134,MMAR_2134,
MMAR_0799,MMAR_0799,
MMAR_4857,MMAR_4857,
MMAR_5392,MMAR_5392,
MMAR_3760,MMAR_3760,
MMAR_4302,MMAR_4302,
MMAR_2298,MMAR_2298,"contains N-terminal Cdd pfam00072, response_reg, response regulator receiver domain. this domain receives the signal from the sensor partner in bacterial two-component systems. it is usually found N-terminal to a DNA binding effector domain. C-terminal conatins Cdd pfam00486, trans_reg_C, transcriptional regulatory protein, C terminal."
MMAR_1788,glnB,"in nitrogen-limiting conditions, when the ratio of Gln to 2-ketoglutarate decreases, P-II is uridylylated to P-II-UMP by GlnD. P-II-UMP allows the deadenylylation of glutamine synthetase (gs), thus activating the enzyme. converserly, in nitrogen excess P-II is deuridylated and promotes the adenylation of gs. P-II indirectly controls the transcription of the gs gene. P-II prevents NR-II catalyzed conversion of NR-I to NR-I-phosphate, the transcriptional activator of GlnA. when P-II is uridylylated to P-II-UMP, these events are reversed."
MMAR_4174,pknF,involved in signal transduction (via phosphorylation). thought to be involved in membrane transport. phosphorylates the peptide substrate myelin basic protein (MBP) at serine and threonine residues [catalytic activity: ATP + a protein = ADP + a phosphoprotein].
MMAR_2606,pknF_3,involved in signal transduction (via phosphorylation). thought to be involved in membrane transport. phosphorylates the peptide substrate myelin basic protein (MBP) at serine and threonine residues [catalytic activity: ATP + a protein = ADP + a phosphoprotein].
MMAR_2941,MMAR_2941,involved in signal transduction (via phosphorylation). thought to be involved in membrane transport. phosphorylates the peptide substrate myelin basic protein (MBP) at serine and threonine residues [catalytic activity: ATP + a protein = ADP + a phosphoprotein].
MMAR_3398,MMAR_3398,involved in signal transduction (via phosphorylation). thought to regulate phosphate transport. can phosphorylate the peptide substrate myelin basic protein (MBP) at serine and threonine residues. can be autophosphorylated on threonine residues [catalytic activity: ATP + a protein = ADP + a phosphoprotein].
MMAR_4577,pknD,involved in signal transduction (via phosphorylation). thought to regulate phosphate transport. can phosphorylate the peptide substrate myelin basic protein (MBP) at serine and threonine residues. can be autophosphorylated on threonine residues [catalytic activity: ATP + a protein = ADP + a phosphoprotein].
MMAR_3405,MMAR_3405,"unknown; contains a N-term serine/threonine protein kinases, catalytic domain and two C-term WD40 domains. WD40 domains are found in a number of eukaryotic proteins that cover a wide variety of functions including adaptor/regulatory modules in signal transduction, pre-mRNA processing and cytoskeleton assembly; typically contains a GH dipeptide 11-24 residues from its N-terminus and the wd dipeptide at its c-terminus and is 40 residues long, hence the name WD40."
MMAR_2194,pyrR,
MMAR_0738,MMAR_0738,
MMAR_0634,kdpD,
MMAR_0815,senX3,
MMAR_4634,prrB,
MMAR_4456,trcS,
MMAR_1300,mtrB,
MMAR_1264,MMAR_1264,
MMAR_2299,MMAR_2299,"two component system response sensor kinase contains Cdd pfam02518, hATPase_C, histidine kinase-, DNA gyrase B-, and Hsp90-like ATPase; Cdd pfam00512, HisKA, his kinase a (phosphoacceptor) domain. dimerisation and phosphoacceptor domain of histidine kinases."
MMAR_0085,MMAR_0085,
MMAR_5559,MMAR_5559,
MMAR_2884,mce3C,
MMAR_3386,pmiA,
MMAR_2541,MMAR_2541,
MMAR_1943,MMAR_1943,
MMAR_2074,MMAR_2074,
MMAR_2693,MMAR_2693,
MMAR_3325,MMAR_3325,
MMAR_4586,MMAR_4586,
MMAR_3593,MMAR_3593,
MMAR_4801,MMAR_4801,
MMAR_1622,MMAR_1622,
MMAR_0933,MMAR_0933,
MMAR_1427,MMAR_1427,
MMAR_4441,MMAR_4441,
MMAR_4449,MMAR_4449,
MMAR_2847,MMAR_2847,
MMAR_2858,MMAR_2858,
MMAR_2905,MMAR_2905,
MMAR_4538,MMAR_4538,
MMAR_4588,MMAR_4588,
MMAR_5570,MMAR_5570,
MMAR_1383,MMAR_1383,
MMAR_1386,MMAR_1386,
MMAR_1410,MMAR_1410,
MMAR_1439,MMAR_1439,
MMAR_3146,MMAR_3146,
MMAR_4826,MMAR_4826,
MMAR_4828,MMAR_4828,
MMAR_4831,MMAR_4831,
MMAR_4835,MMAR_4835,
MMAR_1465,MMAR_1465,
MMAR_4853,MMAR_4853,
MMAR_1576,MMAR_1576,
MMAR_3391,MMAR_3391,
MMAR_1833,MMAR_1833,
MMAR_3573,MMAR_3573,
MMAR_1942,MMAR_1942,
MMAR_3582,MMAR_3582,
MMAR_3586,MMAR_3586,
MMAR_3587,MMAR_3587,
MMAR_3610,MMAR_3610,
MMAR_2326,MMAR_2326,
MMAR_2347,MMAR_2347,
MMAR_4018,MMAR_4018,
MMAR_2514,MMAR_2514,
MMAR_0931,MMAR_0931,
MMAR_2545,MMAR_2545,
MMAR_2549,MMAR_2549,
MMAR_2565,MMAR_2565,
MMAR_2602,MMAR_2602,
MMAR_2603,MMAR_2603,
MMAR_0951,MMAR_0951,
MMAR_2668,MMAR_2668,
MMAR_4958,MMAR_4958,
MMAR_2756,oxyR,
MMAR_4587,MMAR_4587,
MMAR_4546,MMAR_4546,
MMAR_2257,otsB1,involved in trehalose biosynthesis (protective effect). mycobacteria can produce trehalose from glucose 6-phosphate and UDP-glucose (the OtsA-OtsB pathway) from glycogen-like alpha(1-->4)-linked glucose polymers (the TreY-TreZ pathway) and from maltose (the TreS pathway). seems to have additional alpha-glucosidase activity.
MMAR_0859,MMAR_0859,"the universal stress protein UspA is a small cytoplasmic bacterial protein whose expression is enhanced when the cell is exposed to stress agents. UspA enhances the rate of cell survival during prolonged exposure to such conditions, and may provide a general ""stress endurance"" activity."
MMAR_5550,MMAR_5550,
MMAR_5450,esxA,
MMAR_5449,esxB,
MMAR_2886,lprM,
MMAR_4055,lprM_1,
MMAR_0181,mce6E,
MMAR_0412,mce1A,
MMAR_0417,mce1F,
MMAR_4883,mce2A,
MMAR_2882,mce3A,
MMAR_4051,mce3A_1,
MMAR_2883,mce3B,
MMAR_4052,mce3B_1,
MMAR_2885,mce3D,
MMAR_4054,mce3D_1,
MMAR_2887,mce3F,
MMAR_4056,mce3F_1,
MMAR_3867,mce5D,
MMAR_0182,mce6F,
MMAR_4053,mce3C_1,
MMAR_3862,yrbE5A,
MMAR_2880,yrbE3A,
MMAR_4049,yrbE3A_1,
MMAR_4050,yrbE3B_1,
MMAR_2881,yrbE3B,
MMAR_2284,iipA,
MMAR_2285,iipB,
MMAR_2499,tlyA,
MMAR_2060,MMAR_2060,
MMAR_0900,bpoC,
MMAR_1388,hpx,
MMAR_1125,groES,
MMAR_0645,clpB,
MMAR_2013,suhB,
MMAR_2796,cinA,
MMAR_2991,MMAR_2991,
MMAR_1370,MMAR_1370,
MMAR_0875,ccsB,
MMAR_2126,MMAR_2126,
MMAR_2866,ephB,
MMAR_5158,ephE,
MMAR_0873,ccsA,
MMAR_1932,ephD_1,
MMAR_3823,plcB_1,"hydrolyzes sphingomyelin in addition to phosphatidylcholine. probable virulence factor implicated in the pathogenesis of mycobacterium tuberculosis at the level of intracellular survival, by the alteration of cell signaling events or by direct cytotoxicity [catalytic activity: a phosphatidylcholine + H(2)O = 1,2- diacylglycerol + choline phosphate]."
MMAR_1485,plcB_2,"hydrolyzes sphingomyelin in addition to phosphatidylcholine. probable virulence factor implicated in the pathogenesis of mycobacterium tuberculosis at the level of intracellular survival, by the alteration of cell signaling events or by direct cytotoxicity [catalytic activity: a phosphatidylcholine + H(2)O = 1,2- diacylglycerol + choline phosphate]."
MMAR_0284,plcB_3,"hydrolyzes sphingomyelin in addition to phosphatidylcholine. probable virulence factor implicated in the pathogenesis of mycobacterium tuberculosis at the level of intracellular survival, by the alteration of cell signaling events or by direct cytotoxicity [catalytic activity: a phosphatidylcholine + H(2)O = 1,2- diacylglycerol + choline phosphate]."
MMAR_4722,plcB_6,"hydrolyzes sphingomyelin in addition to phosphatidylcholine. probable virulence factor implicated in the pathogenesis of mycobacterium tuberculosis at the level of intracellular survival, by the alteration of cell signaling events or by direct cytotoxicity [catalytic activity: a phosphatidylcholine + H(2)O = 1,2- diacylglycerol + choline phosphate]."
